,industry_code,product_code,product_name,item
967,315220,315220,Men's and boys' cut and sew apparel manufacturing,PCU315220315220
968,315220,3152201,"Men's and boys' nightwear, robes, and underwear, made from purchased fabrics",PCU3152203152201
969,315220,3152202,"Men's and boys' suits, coats, and overcoats",PCU3152203152202
970,315220,31522022,"Men's and boys' tailored suits, including dress uniforms (firefighter, military, police, etc.)",PCU31522031522022
971,315220,31522029,"Men's and boys' tailored overcoats (incl. water-repellent), dress and sport coats, and vests",PCU31522031522029
972,315220,315220294,"Men's and boys' tailored overcoats, topcoats, & car and suburban coats (incl. water-repellent)",PCU315220315220294
973,315220,315220296,"Men's and boys' tailored dress and sport coats and vests, made from purchased fabrics",PCU315220315220296
974,315220,3152206,"Men's and boys' shirts, except work shirts",PCU3152203152206
975,315220,31522061,"Men's and boys' knit dress and sport shirts, made from purchased fabrics",PCU31522031522061
976,315220,31522063,"Men's and  boys' woven dress and sport shirts, made from purchased fabrics",PCU31522031522063
977,315220,315220A,"Men's and boys' pants, except work pants",PCU315220315220A
978,315220,315220A1,"Men's and boys' separate dress and sport trousers, pants, & slacks, made from purchased fabrics",PCU315220315220A1
979,315220,315220A3,"Men's and boys' jeans and jean-cut casual slacks, made from purchased fabrics",PCU315220315220A3
980,315220,315220C,Men's and boys' work clothing,PCU315220315220C
981,315220,315220C1,"Men's and boys' work shirts, made from purchased fabrics",PCU315220315220C1
982,315220,315220C3,"Men's and boys' work clothing and washable service apparel (excl. work shirts and jeans), mfpm",PCU315220315220C3
983,315220,315220E,Men's and boys' other outerwear,PCU315220315220E
984,315220,3152200,"Men's and boys' nontailored coats, jackets, and vests (excl. ski apparel & work jackets), mfpm",PCU3152203152200
985,315220,3.1522E+16,"Men's and boys' heavyweight nontailored coats, jackets, and vests (excl. ski apparel & work)",PCU3152203.1522E+16
986,315220,3.1522E+17,"Men's and boys' lightweight nontailored coats, jackets, and vests (excl. ski apparel & work)",PCU3152203.1522E+17
987,315220,315220000,"Men's and boys' shorts (including dress and athletic) and swimwear, made from purchased fabrics",PCU315220315220000
988,315220,31522000000,"Men's and boys' sweaters, sweatpants, jogging suits, beachwear (excl. swimsuits), & ski apparel",PCU31522031522000000
989,315220,315220M,Miscellaneous receipts,PCU315220315220M
990,315220,315220P,Primary products,PCU315220315220P
991,315220,315220S,Secondary products,PCU315220315220S
992,31524-,31524-,Women's & girls' cut & sew apparel mfg.,PCU31524-31524-
993,315240,315240,"Women's, girls', and infants' cut and sew apparel manufacturing",PCU315240315240
994,315240,3152401,Women's and girls' lingerie and nightwear,PCU3152403152401
995,315240,31524011,"Women's and girls' underwear, excluding foundation garments, made from purchased fabrics",PCU31524031524011
996,315240,31524013,"Women's and girls' nightwear, excluding robes and dressing gowns, made from purchased fabrics",PCU31524031524013
997,315240,31524017,"Women's and girls' brassieres, bandeaux, corsets (exc. surgical), girdles, & combinations, mfpm",PCU31524031524017
998,315240,31524019,"Women's and girls' robes and dressing gowns, made from purchased fabrics",PCU31524031524019
999,315240,3152402,Women's and girls' blouses and shirts,PCU3152403152402
1000,315240,31524021,"Women's and girls' knit shirts and blouses, made from purchased fabrics",PCU31524031524021
1001,315240,31524023,"Women's and girls' woven shirts and blouses, made from purchased fabrics",PCU31524031524023
1002,315240,3152403,"Women's and girls' dresses, made from purchased fabrics",PCU3152403152403
1003,315240,3152404,"Women's and girls' suits, coats, and skirts",PCU3152403152404
1004,315240,31524044,"Women's and girls' tailored suits and pantsuits, including dress uniforms, mfpm",PCU31524031524044
1005,315240,31524046,"Women's and girls' skirts, made from purchased fabrics",PCU31524031524046
1006,315240,31524048,"Women's and girls' tailored jackets and vests, excluding fur and leather, mfpm",PCU31524031524048
1007,315240,3152408,Women's and girls' other outerwear,PCU3152403152408
1008,315240,31524082,"Women's and girls' sweaters, including sweater vests, made from purchased fabrics",PCU31524031524082
1009,315240,31524084,"Women's and girls' shorts, including tennis skirts, made from purchased fabrics",PCU31524031524084
1010,315240,31524086,"Women's and girls' slacks, jeans, & jean-cut casual slacks (exc. sweatpants), mfpm",PCU31524031524086
1011,315240,31524088,"Women's and girls' sweatpants, bodysuits, warm-up suits, rompers, & beachwear (exc. swimwear)",PCU31524031524088
1012,315240,3152408A,"Women's and girls' swimwear, made from purchased fabrics",PCU3152403152408A
1013,315240,3152408T,"Women's and girls' nontailored coats, jackets, vests, and washable service apparel, mfpm",PCU3152403152408T
1014,315240,3152409,"Infants' apparel, made from purchased fabrics",PCU3152403152409
1015,315240,31524092,"Infants' apparel, excluding underwear and nightwear, made from purchased fabrics",PCU31524031524092
1016,315240,315240M,Miscellaneous receipts,PCU315240315240M
1017,315240,315240P,Primary products,PCU315240315240P
1018,315240,315240S,Secondary products,PCU315240315240S
1019,31528-,31528-,Other cut and sew apparel manufacturing,PCU31528-31528-
1020,315280,315280,Other cut and sew apparel manufacturing,PCU315280315280
1021,315280,3152802,"Fur and leather apparel, made from purchased materials",PCU3152803152802
1022,315280,31528025,"Leather and sheep-lined apparel, made from purchased materials",PCU31528031528025
1023,315280,3152806,"All other cut and sew apparel, made from purchased materials",PCU3152803152806
1024,315280,31528065,"Team sport uniforms, men's and boys', made from purchased fabrics",PCU31528031528065
1025,315280,31528067,"Team sport uniforms, women's and girls', made from purchased fabrics",PCU31528031528067
1026,315280,31528069,"Vestments and costumes, made from purchased materials",PCU31528031528069
1027,315280,315280M,Miscellaneous receipts,PCU315280315280M
1028,315280,315280P,Primary products,PCU315280315280P
1029,315280,315280S,Secondary products,PCU315280315280S
1030,3159--,3159--,Accessories and other apparel manufacturing,PCU3159--3159--
1031,31599-,31599-,Accessories and other apparel manufacturing,PCU31599-31599-
1032,315990,315990,Accessories and other apparel manufacturing,PCU315990315990
1033,315990,3159904,"Hats, caps, and millinery products",PCU3159903159904
1034,315990,31599041,"Men's and boys' fabric, straw, and felt hats, made from purchased materials",PCU31599031599041
1035,315990,31599043,"Women's, girls', and infants' fabric, straw, and felt hats, made from purchased materials",PCU31599031599043
1036,315990,31599045,"Hat bodies and fabric caps, made from purchased materials",PCU31599031599045
1037,315990,3159907,"Gloves and mittens, made from purchased materials",PCU3159903159907
1038,315990,3159908,"Men's and boys' neckwear, made from purchased materials",PCU3159903159908
1039,315990,315990B,All other accessories and apparel,PCU315990315990B
1040,315990,315990BC,"Leather belts, made from purchased materials",PCU315990315990BC
1041,315990,315990BE,"All other apparel accessories, made from purchased materials",PCU315990315990BE
1042,315990,315990M,Miscellaneous receipts,PCU315990315990M
1043,315990,315990P,Primary products,PCU315990315990P
1044,315990,315990S,Secondary products,PCU315990315990S
1045,316---,316---,Leather and allied product manufacturing,PCU316---316---
1046,3161--,3161--,Leather and hide tanning and finishing,PCU3161--3161--
1047,31611-,31611-,Leather and hide tanning and finishing,PCU31611-31611-
1048,316110,316110,Leather and hide tanning and finishing,PCU316110316110
1049,316110,3161101,Finished and unfinished leather,PCU3161103161101
1050,316110,3161102,"Tanning or finishing leather owned by others, and furs, dressed and dyed or bleached",PCU3161103161102
1051,316110,31611021,Contract and commission receipts for tanning or finishing leather owned by others,PCU31611031611021
1052,316110,316110P,Primary products,PCU316110316110P
1053,3162--,3162--,Footwear manufacturing,PCU3162--3162--
1054,31621-,31621-,Footwear manufacturing,PCU31621-31621-
1055,316210,316210,Footwear manufacturing,PCU316210316210
1056,316210,3162101,"Rubber and plastics footwear, including athletic footwear",PCU3162103162101
1057,316210,3162103,"Men's footwear (size 6 and larger), excluding athletic",PCU3162103162103
1058,316210,3162104,"Women's footwear (size 4 and larger), excluding athletic",PCU3162103162104
1059,316210,3162109,"Other footwear, excluding rubber and plastic soled footwear",PCU3162103162109
1060,316210,316210M,Miscellaneous receipts,PCU316210316210M
1061,316210,316210P,Primary products,PCU316210316210P
1062,3169--,3169--,Other leather product manufacturing,PCU3169--3169--
1063,31699-,31699-,Other leather product manufacturing,PCU31699-31699-
1064,316992,316992,Women's handbag and purse manufacturing,PCU316992316992
1065,316992,3169920,Women's and children's handbags and purses,PCU3169923169920
1066,316992,316992P,Primary products,PCU316992316992P
1067,316992,316992S,Secondary products,PCU316992316992S
1068,316998,316998,All other leather and allied good mfg.,PCU316998316998
1069,316998,3169981,"Luggage (including suitcases, travel bags, backpacks, and other types)",PCU3169983169981
1070,316998,3169982,Personal leather goods (excluding women's handbags and purses),PCU3169983169982
1071,316998,3169984,Boot and shoe cut stock and findings,PCU3169983169984
1072,316998,3169985,All other miscellaneous leather goods,PCU3169983169985
1073,316998,316998M,Miscellaneous receipts,PCU316998316998M
1074,316998,316998P,Primary products,PCU316998316998P
1075,316998,316998S,Secondary products,PCU316998316998S
1076,321---,321---,Wood product manufacturing,PCU321---321---
1077,3211--,3211--,Sawmills and wood preservation,PCU3211--3211--
1078,32111-,32111-,Sawmills and wood preservation,PCU32111-32111-
1079,321113,321113,Sawmills,PCU321113321113
1080,321113,3211131,"Hardwood lumber, made in sawmills",PCU3211133211131
1081,321113,3211133,"Softwood lumber, made in sawmills",PCU3211133211133
1082,321113,32111331,"Softwood rough lumber, not edge worked",PCU32111332111331
1083,321113,32111332,"Softwood dressed lumber, less than 2 inches in nominal thickness, not edge worked",PCU32111332111332
1084,321113,32111333,"Softwood dressed 2-inch lumber, 2 inches in nominal thickness only, not edge worked",PCU32111332111333
1085,321113,32111334,"Softwood dressed lumber and timbers, more than 2 inches in nominal thickness, not edge worked",PCU32111332111334
1086,321113,3211135,"Wood chips, excluding field chips",PCU3211133211135
1087,321113,3211137,"Wood ties, siding, shingles, and shakes, and contract sawing of logs owned by others",PCU3211133211137
1088,321113,321113M,Miscellaneous receipts,PCU321113321113M
1089,321113,321113P,Primary products,PCU321113321113P
1090,321113,321113S,Secondary products,PCU321113321113S
1091,321114,321114,Wood preservation,PCU321114321114
1092,321114,3211141,"Wood poles, piles, and posts owned and treated by the same establishment",PCU3211143211141
1093,321114,3211145,Other wood products owned and treated by the same establishment,PCU3211143211145
1094,321114,3211149,"Receipts for treating wood owned by others w/ arsenical chemicals, creosote, & other chemicals",PCU3211143211149
1095,321114,321114P,Primary products,PCU321114321114P
1096,321114,321114S,Secondary products,PCU321114321114S
1097,321114,321114SS,Secondary products,PCU321114321114SS
1098,3212--,3212--,Plywood and engineered wood product mfg,PCU3212--3212--
1099,32121-,32121-,Plywood and engineered wood product mfg,PCU32121-32121-
1100,321211,321211,Hardwood veneer and plywood manufacturing,PCU321211321211
1101,321211,3212111,"Hardwood veneer, including veneer backed with paper, cloth, or other flexible material",PCU3212113212111
1102,321211,3212114,Hardwood plywood,PCU3212113212114
1103,321211,32121143,"Hardwood plywood, excluding prefinished hardwood plywood made from purchased hardwood plywood",PCU32121132121143
1104,321211,3212117,"Hardwood veneered panels, including two-ply veneers",PCU3212113212117
1105,321211,321211M,Miscellaneous receipts,PCU321211321211M
1106,321211,321211MM,Miscellaneous receipts,PCU321211321211MM
1107,321211,321211P,Primary products,PCU321211321211P
1108,321211,321211S,Secondary products,PCU321211321211S
1109,321212,321212,Softwood veneer and plywood manufacturing,PCU321212321212
1110,321212,3212121,"Softwood veneer, incl. veneer backed w/ paper, cloth, or other flexible material",PCU3212123212121
1111,321212,3212124,"Softwood plywood products: rough, sanded, and specialties",PCU3212123212124
1112,321212,321212P,Primary products,PCU321212321212P
1113,321212,321212S,Secondary products,PCU321212321212S
1114,321212,321212SS,Secondary products,PCU321212321212SS
1115,321213,321213,Engineered wood member manufacturing,PCU321213321213
1116,321213,3212130,Engineered wood members (excluding trusses),PCU3212133212130
1117,321213,32121301,Laminated veneer lumber,PCU32121332121301
1118,321213,32121302,"Other engineered structural wood members, excluding trusses & laminated veneer lumber",PCU32121332121302
1119,321213,321213P,Primary products,PCU321213321213P
1120,321213,321213S,Secondary products,PCU321213321213S
1121,321214,321214,Truss manufacturing,PCU321214321214
1122,321214,3212140,Wood trusses,PCU3212143212140
1123,321214,321214M,Miscellaneous receipts,PCU321214321214M
1124,321214,321214P,Primary products,PCU321214321214P
1125,321214,321214S,Secondary products,PCU321214321214S
1126,321219,321219,Reconstituted wood product manufacturing,PCU321219321219
1127,321219,3212191,Particleboard made from particleboard produced at the same location,PCU3212193212191
1128,321219,3212192,Waferboard and oriented strandboard (OSB),PCU3212193212192
1129,321219,3212193,Medium density fiberboard (MDF) made from MDF produced at the same location,PCU3212193212193
1130,321219,321219A,Cellulosic fiberboard (insulating board),PCU321219321219A
1131,321219,321219B,Hardboard products,PCU321219321219B
1132,321219,321219C,Prefinished particleboard and medium density fiberboard (MDF) made from purchased materials,PCU321219321219C
1133,321219,321219P,Primary products,PCU321219321219P
1134,321219,321219S,Secondary products,PCU321219321219S
1135,3219--,3219--,Other wood product manufacturing,PCU3219--3219--
1136,32191-,32191-,Millwork,PCU32191-32191-
1137,321911,321911,Wood window and door manufacturing,PCU321911321911
1138,321911,3219111,Wood window units,PCU3219113219111
1139,321911,32191111,Double hung wood window units,PCU32191132191111
1140,321911,32191112,Casement wood window units,PCU32191132191112
1141,321911,32191113,"All other wood window units, including horizontal sliding, awning and single hung",PCU32191132191113
1142,321911,3219113,"Wood sash, excluding sash shipped in window units",PCU3219113219113
1143,321911,3219115,"Wood window & door frames, incl. door frames in door units, excl. window frames in window units",PCU3219113219115
1144,321911,3219117,"Wood panel, flush, & molded face doors, interior & exterior, incl. doors with glazed sections",PCU3219113219117
1145,321911,3219119,"Other wood doors, incl. garage, patio, bifold, cabinet, screen, storm and louver",PCU3219113219119
1146,321911,321911M,Miscellaneous receipts,PCU321911321911M
1147,321911,321911P,Primary products,PCU321911321911P
1148,321911,321911S,Secondary products,PCU321911321911S
1149,321912,321912,"Cut stock, resawing lumber, and planing",PCU321912321912
1150,321912,3219121,"Hardwood lumber, made from purchased lumber",PCU3219123219121
1151,321912,3219123,"Softwood lumber, made from purchased lumber",PCU3219123219123
1152,321912,3219126,Hardwood cut stock and dimension,PCU3219123219126
1153,321912,3219128,Softwood cut stock and dimension,PCU3219123219128
1154,321912,3219129,"Sawn wood fence stock, wood lath, and contract resawing and planing",PCU3219123219129
1155,321912,321912P,Primary products,PCU321912321912P
1156,321912,321912S,Secondary products,PCU321912321912S
1157,321918,321918,"Other millwork, including flooring",PCU321918321918
1158,321918,3219182,Wood moldings,PCU3219183219182
1159,321918,3219185,"Other wood millwork products, including stairwork, exterior millwork, and softwood flooring",PCU3219183219185
1160,321918,3219187,Hardwood flooring,PCU3219183219187
1161,321918,32191872,"Hardwood flooring, other than oak and maple",PCU32191832191872
1162,321918,32191873,Oak and maple hardwood flooring,PCU32191832191873
1163,321918,321918M,Miscellaneous receipts,PCU321918321918M
1164,321918,321918P,Primary products,PCU321918321918P
1165,321918,321918S,Secondary products,PCU321918321918S
1166,32192-,32192-,Wood container and pallet manufacturing,PCU32192-32192-
1167,321920,321920,Wood container and pallet manufacturing,PCU321920321920
1168,321920,3219201,Nailed and lock-corner wood boxes,PCU3219203219201
1169,321920,3219203,Wood box and crate shook,PCU3219203219203
1170,321920,3219205,"Wood pallets and pallet containers, wood and metal combination",PCU3219203219205
1171,321920,3219207,Other wood container parts and wood containers,PCU3219203219207
1172,321920,321920M,Miscellaneous receipts,PCU321920321920M
1173,321920,321920P,Primary products,PCU321920321920P
1174,321920,321920S,Secondary products,PCU321920321920S
1175,32199-,32199-,All other wood product manufacturing,PCU32199-32199-
1176,321991,321991,"Manufactured home, mobile home, manufacturing",PCU321991321991
1177,321991,3219911,"Manufactured homes (mobile homes), all width sizes (incl. multisection)",PCU3219913219911
1178,321991,321991P,Primary products,PCU321991321991P
1179,321991,321991S,Secondary products,PCU321991321991S
1180,321991,321991SS,Secondary products,PCU321991321991SS
1181,321992,321992,Prefabricated wood building manufacturing,PCU321992321992
1182,321992,3219921,"Prefabricated stationary wood buildings, components (not sold as complete units)",PCU3219923219921
1183,321992,3219925,"Prefabricated stationary wood buildings, shipped in panel form (complete units)",PCU3219923219925
1184,321992,3219926,"Prefabricated stationary wood buildings, precut packages (complete units)",PCU3219923219926
1185,321992,3219927,"Prefabricated stationary wood buildings, shipped in three-dimensional assemblies",PCU3219923219927
1186,321992,32199271,"Prefabricated stationary wood buildings, three-dimensional assemblies, residential",PCU32199232199271
1187,321992,32199272,"Prefabricated stationary wood buildings, three-dimensional assemblies, nonresidential",PCU32199232199272
1188,321992,321992M,Miscellaneous receipts,PCU321992321992M
1189,321992,321992MM,Miscellaneous receipts,PCU321992321992MM
1190,321992,321992P,Primary products,PCU321992321992P
1191,321992,321992S,Secondary products,PCU321992321992S
1192,321992,321992SS,Secondary products,PCU321992321992SS
1193,321999,321999,Miscellaneous wood product manufacturing,PCU321999321999
1194,321999,3219990,All other miscellaneous wood products,PCU3219993219990
1195,321999,321999M,Miscellaneous receipts,PCU321999321999M
1196,321999,321999P,Primary products,PCU321999321999P
1197,321999,321999S,Secondary products,PCU321999321999S
1198,322---,322---,Paper manufacturing,PCU322---322---
1199,3221--,3221--,"Pulp, paper & paperboard mills",PCU3221--3221--
1200,32211-,32211-,Pulp mills,PCU32211-32211-
1201,322110,322110,Pulp mills,PCU322110322110
1202,322110,3221109,"All other miscellaneous pulp, other than wood, and pulp mill by-products incl. turpentine",PCU3221103221109
1203,322110,322110P,Primary products,PCU322110322110P
1204,32212-,32212-,Paper mills,PCU32212-32212-
1205,322121,322121,"Paper, except newsprint, mills",PCU322121322121
1206,322121,3221216,"Bleached bristol, clay-coated, uncoated, and industrial converted paper",PCU3221213221216
1207,322121,322121F,Construction paper,PCU322121322121F
1208,322121,322121M1,Miscellaneous receipts,PCU322121322121M1
1209,322121,322121P,Primary products,PCU322121322121P
1210,322121,322121Q,"Sanitary tissue paper products, made in paper mills",PCU322121322121Q
1211,322121,322121Q1,"Facial tissues and handkerchiefs, including sputum wipes, made in paper mills",PCU322121322121Q1
1212,322121,322121Q2,"Paper table napkins, industrial & retail pkgs, bulk and dispenser types, made in paper mills",PCU322121322121Q2
1213,322121,322121Q5,"Toilet tissue, retail packages, rolls and ovals",PCU322121322121Q5
1214,322121,322121Q6,"Paper towels, industrial packages (rolled, folded, and interfolded), made in paper mills",PCU322121322121Q6
1215,322121,322121Q7,"Paper towels, retail packages (rolled, folded, and interfolded), made in paper mills",PCU322121322121Q7
1216,322121,322121Q9,"Other sanitary tissue paper products, made in paper mills",PCU322121322121Q9
1217,322121,322121S,Secondary products,PCU322121322121S
1218,322122,322122,Newsprint mills,PCU322122322122
1219,322122,3221221,Newsprint,PCU3221223221221
1220,322122,3221223,Uncoated ground-wood paper (containing more than 10 percent mechanical fiber),PCU3221223221223
1221,322122,322122P,Primary products,PCU322122322122P
1222,32213-,32213-,Paperboard mills,PCU32213-32213-
1223,322130,322130,Paperboard mills,PCU322130322130
1224,322130,3221301,Unbleached kraft packaging & industrial converting paperboard (80 percent or more virgin wood),PCU3221303221301
1225,322130,3221305,"Semichemical paperboard, including corrugating medium (75 percent or more virgin woodpulp)",PCU3221303221305
1226,322130,3221307,Recycled paperboard,PCU3221303221307
1227,322130,322130P,Primary products,PCU322130322130P
1228,322130,322130S,Secondary products,PCU322130322130S
1229,322130,322130SS,Secondary products,PCU322130322130SS
1230,3222--,3222--,Converted paper product mfg,PCU3222--3222--
1231,32221-,32221-,Paper container mfg,PCU32221-32221-
1232,322211,322211,Corrugated and solid fiber box manufacturing,PCU322211322211
1233,322211,3222110,"Corrugated and solid fiber boxes, including pallets",PCU3222113222110
1234,322211,32221101,Corrugated shipping containers for food and beverages and carryout boxes for retail food,PCU32221132221101
1235,322211,32221102,Corrugated shipping containers for paper and allied products,PCU32221132221102
1236,322211,32221103,Corrugated shipping containers for metal and electrical machinery,PCU32221132221103
1237,322211,32221104,Corrugated shipping containers for all other end uses,PCU32221132221104
1238,322211,32221105,"Corrugated paperboard in sheets and rolls, lined and unlined",PCU32221132221105
1239,322211,32221109,"Other corrugated and solid fiber products, including containers, pallets, pads, etc.",PCU32221132221109
1240,322211,322211M,Miscellaneous receipts,PCU322211322211M
1241,322211,322211MM,Miscellaneous receipts,PCU322211322211MM
1242,322211,322211P,Primary products,PCU322211322211P
1243,322211,322211S,Secondary products,PCU322211322211S
1244,322211,322211SS,Secondary products,PCU322211322211SS
1245,322212,322212,Folding paperboard box manufacturing,PCU322212322212
1246,322212,3222120,"Folding paperboard boxes, packaging, and packaging components",PCU3222123222120
1247,322212,322212P,Primary products,PCU322212322212P
1248,322212,322212S,Secondary products,PCU322212322212S
1249,322212,322212SS,Secondary products,PCU322212322212SS
1250,322219,322219,Other paperboard container manufacturing,PCU322219322219
1251,322219,3222191,Setup (rigid) paperboard boxes,PCU3222193222191
1252,322219,3222194,"Milk and milk-type paperboard cartons, including juice, beverage, and other products",PCU3222193222194
1253,322219,3222195,Cups and liquid-tight paper and paperboard containers,PCU3222193222195
1254,322219,3222197,Paperboard fiber drums with ends of any material,PCU3222193222197
1255,322219,3222198,"Fiber cans, tubes, and similar fiber products",PCU3222193222198
1256,322219,32221981,"Fiber cans, all fiber and composite",PCU32221932221981
1257,322219,32221982,Fiber cores and tubes,PCU32221932221982
1258,322219,32221983,"Paperboard cones, reels, spools, bobbins, blocks, and all vulcanized fiber products",PCU32221932221983
1259,322219,322219M,Miscellaneous receipts,PCU322219322219M
1260,322219,322219P,Primary products,PCU322219322219P
1261,32222-,32222-,Paper bag and coated and treated paper mfg,PCU32222-32222-
1262,322220,322220,Paper bag and coated and treated paper manufacturing,PCU322220322220
1263,322220,3222207,Wallcoverings,PCU3222203222207
1264,322220,3222208,Converted foil for nonpackaging applications,PCU3222203222208
1265,322220,3222209,"Other coated and processed papers, except for packaging uses",PCU3222203222209
1266,322220,322220B,"Specialty bags, pouches, and liners, coated and single-web paper",PCU322220322220B
1267,322220,322220C,"Specialty bags, pouches, and liners, multiweb laminations and foil, except film-film",PCU322220322220C
1268,322220,322220D,Uncoated single-web paper grocers' bags and sacks and variety and shopping bags,PCU322220322220D
1269,322220,322220D9,"All other uncoated paper bags and pouches (including specialty bags, mothproof bags, etc.)",PCU322220322220D9
1270,322220,322220E,"Shipping sacks and multiwall bags, all materials, except textiles",PCU322220322220E
1271,322220,3222200,"Single and double wall shipping sacks and bags, all materials, except textiles",PCU3222203222200
1272,322220,32222000,"Multiwall (three-ply or more) shipping sacks and bags, all materials, except textiles",PCU32222032222000
1273,322220,322220F,Laminated aluminum foil rolls and sheets for flexible packaging uses,PCU322220322220F
1274,322220,322220F3,"Adhesive or wax laminated aluminum foil/paper combinations, rolls and sheets",PCU322220322220F3
1275,322220,322220G,"Pasted, lined, laminated, or surface-coated paperboard",PCU322220322220G
1276,322220,322220H,"Single-web paper, rolls and sheets, including waxed, for flexible packaging uses",PCU322220322220H
1277,322220,322220J,"Multiweb laminated rolls and sheets, except foil, for flexible packaging uses",PCU322220322220J
1278,322220,322220K,"Printing paper, coated at establishments other than where paper was produced",PCU322220322220K
1279,322220,322220L,Gummed products,PCU322220322220L
1280,322220,322220M,Miscellaneous receipts,PCU322220322220M
1281,322220,322220N,Pressure-sensitive products,PCU322220322220N
1282,322220,322220P,Primary products,PCU322220322220P
1283,322220,322220S,Secondary products,PCU322220322220S
1284,32223-,32223-,Stationery product mfg,PCU32223-32223-
1285,322230,322230,Stationery product manufacturing,PCU322230322230
1286,322230,3222304,Die-cut paper and paperboard office supplies,PCU3222303222304
1287,322230,3222305,"Envelopes, commercial, all types and materials",PCU3222303222305
1288,322230,3222306,Paper supplies for business machines and other misc. unprinted office supplies,PCU3222303222306
1289,322230,3222307,Stationery,PCU3222303222307
1290,322230,3222309,"Tablets, pads and related products",PCU3222303222309
1291,322230,32223093,"Notebooks, bound with wire, staples, thread, or plastics",PCU32223032223093
1292,322230,32223094,"Looseleaf paper fillers, school and commercial types",PCU32223032223094
1293,322230,32223099,"All other miscellaneous tablets, pads, and related products",PCU32223032223099
1294,322230,322230M,Miscellaneous receipts,PCU322230322230M
1295,322230,322230P,Primary products,PCU322230322230P
1296,322230,322230S,Secondary products,PCU322230322230S
1297,32229-,32229-,Other converted paper product mfg,PCU32229-32229-
1298,322291,322291,Sanitary paper product manufacturing,PCU322291322291
1299,322291,3222912,"Disposable diapers and similar disposable products, made from purchased sanitary paper stock",PCU3222913222912
1300,322291,3222915,"Sanitary tissue paper products, made from purchased sanitary paper stock or wadding",PCU3222913222915
1301,322291,322291M,Miscellaneous receipts,PCU322291322291M
1302,322291,322291P,Primary products,PCU322291322291P
1303,322291,322291S,Secondary products,PCU322291322291S
1304,322291,322291SS,Secondary products,PCU322291322291SS
1305,322299,322299,All other converted paper product mfg.,PCU322299322299
1306,322299,3222991,"Molded pulp goods, including egg cartons, florist pots, food trays, etc.",PCU3222993222991
1307,322299,3222993,Miscellaneous converted paper and paperboard products,PCU3222993222993
1308,322299,322299M,Miscellaneous receipts,PCU322299322299M
1309,322299,322299MM,Miscellaneous receipts,PCU322299322299MM
1310,322299,322299P,Primary products,PCU322299322299P
1311,322299,322299S,Secondary products,PCU322299322299S
1312,322299,322299SM,Secondary products and miscellaneous receipts,PCU322299322299SM
1313,323---,323---,Printing and related support activities,PCU323---323---
1314,3231--,3231--,Printing and related support activities,PCU3231--3231--
1315,32311-,32311-,Printing,PCU32311-32311-
1316,323113,323113,Commercial screen printing,PCU323113323113
1317,323113,3231132,Label screen printing,PCU3231133231132
1318,323113,3231134,"Screen printing on garments, apparel accessories, and other fabric articles, excluding labels",PCU3231133231134
1319,323113,3231136,"Screen printing (excluding on textiles, apparel, apparel accessories, and labels)",PCU3231133231136
1320,323113,32311362,Advertising screen printing,PCU32311332311362
1321,323113,32311363,"Screen printed decalcomanias and pressure sensitives (self-adhesive), excluding labels",PCU32311332311363
1322,323113,32311366,Other commercial and general job screen printing,PCU32311332311366
1323,323113,323113M,Miscellaneous receipts,PCU323113323113M
1324,323113,323113P,Primary products,PCU323113323113P
1325,323113,323113S,Secondary products,PCU323113323113S
1326,323117,323117,Books printing,PCU323117323117
1327,323117,3231171,Textbook printing and binding,PCU3231173231171
1328,323117,3231173,"Technical, scientific, & professional book printing & binding",PCU3231173231173
1329,323117,3231175,Religious book printing and binding,PCU3231173231175
1330,323117,3231177,"General book (trade, etc.) printing & binding",PCU3231173231177
1331,323117,3231179,Other book printing and binding,PCU3231173231179
1332,323117,323117C,"Pamphlets, printing only or printing and binding (excluding advertising pamphlets)",PCU323117323117C
1333,323117,323117P,Primary products,PCU323117323117P
1334,323117,323117S,Secondary products,PCU323117323117S
1335,32311K,32311K,"Commercial printing, except screen and books",PCU32311K32311K
1336,32311K,32311K0,Commercial lithographic printing,PCU32311K32311K0
1337,32311K,32311K01,Magazine and periodical printing (lithographic),PCU32311K32311K01
1338,32311K,32311K03,Label and wrapper printing (lithographic),PCU32311K32311K03
1339,32311K,32311K05,Catalog and directory printing (lithographic),PCU32311K32311K05
1340,32311K,32311K07,Financial and legal printing (lithographic),PCU32311K32311K07
1341,32311K,32311K09,Advertising printing (lithographic),PCU32311K32311K09
1342,32311K,32311K0B,Other commercial and general job printing (lithographic),PCU32311K32311K0B
1343,32311K,32311K1,Commercial gravure printing,PCU32311K32311K1
1344,32311K,32311K11,Magazine and periodical printing (gravure),PCU32311K32311K11
1345,32311K,32311K13,Label and wrapper printing (gravure),PCU32311K32311K13
1346,32311K,32311K15,Catalog and directory printing (gravure),PCU32311K32311K15
1347,32311K,32311K17,Advertising printing (gravure),PCU32311K32311K17
1348,32311K,32311K2,Commercial flexographic printing,PCU32311K32311K2
1349,32311K,32311K21,Label and wrapper printing (flexographic),PCU32311K32311K21
1350,32311K,32311K23,Commercial and general job printing other than labels and wrappers (flexographic),PCU32311K32311K23
1351,32311K,32311K4,Quick printing,PCU32311K32311K4
1352,32311K,32311K5,Digital printing,PCU32311K32311K5
1353,32311K,32311K6,Manifold business forms printing,PCU32311K32311K6
